,review_es
10,"Antes de perder todo lo que se muestra en la televisión era predecible.Podrías predecir quién iba a morir o quién encontrará algo, pero en la pérdida no podía predecir nada.Cada cosa era tan sorprendentemente impresionante y realmente era un misterio, no porque tiene tantos secretos, sino porque no había nada como si todo fuera tan genial.Literalmente me volví adicto a ello.Lost es una obra de arte clásica.Te da algo que esperar cada semana.Es genio.El entorno es brillante, es tranquilo y cálido en la playa y tan aterrador en la jungla.Los personajes son una obra de genio cada uno de ellos, especialmente los que ya están en la isla.Los Castaways son tan dramáticos, pero nunca podemos predecir sus muertes porque tienen mucho más que hacer y mucho más que decir y tienen secretos que afectan a los otros caseños que mueren con ellos."
11,"Tuve la suerte de ver esta secuela antes del original porque no estoy seguro de que hubiera salido de mi camino para verlo si lo contrario hubiera sido cierto.Encontré ""Mission Cléopâtre"" mejor que el predecesor por diferentes razones, pero el mayor es este: fue casi una palabra para la palabra una adaptación de un libro, no una amalgama como la primera película.El parecido físico de algunos personajes a su auto animado, era muy divertido, especialmente el chico malo (el nombre de quién se está escapando, pero él es el otro arquitecto).No sé cómo esta película jugó en inglés;Mi primer idioma es el francés, así que no tuve ese problema ... Me imagino que algunos de los chistes no eran tan fáciles de traducir.Aprendí algo con años, es mejor ver una película con los subtítulos que con el doblaje, tal vez no entenderás lo que se dice, pero no perderás el ritmo y creo que eso también es importante.Recomendaría esta película a cualquiera que realmente ame ""Astérix et Obélix""."
12,"Carol, la joven en el centro de la historia, se trasplanta a una tierra extranjera, España, a la altura del conflicto de la guerra civil a finales de los 30. Para esta chica, todo es nuevo, en su propiedad. La guerra y su padre son sus preocupaciones constantes, mientras que ella tiene que sumergirse en una cultura provincial que tiene años detrás de lo que tiene en Nueva York. La Uribe de la New York dirige esta película por los números. La familia de Carol está obviamente dividida, mientras que la madre de Carol está casada con alguien que es un piloto de la Fuerza Aérea con la facción de izquierda, el resto de las simpatías de la familia están con el Franco y los fascistas que ganaron el conflicto. La historia no agrega nada a lo que ya no ha. Se le ha dicho, mucho mejor, pero es una película fácil de ver. Se muestra el magnífico paisaje del norte de España. No espere una gran cantidad de acción, ya que la mayor parte de lo que sucede gira en torno a Carol y los niños pequeños, ella se hace amigo. Clara Lago interpreta a Carol con sinceridad e inocencia. Maria Barranco es la madre de Carol Aurora, la que se fue a América. Rosa Maria Sarda es Maruja, la maestra que se hace amigo de Carol. Carmelo Gómez, juega a Alfonso, el hombre que Aurora dejó atrás cuando se fue a América. Este actor, que generalmente tiene roles de plomo en la mayoría de las películas españolas, no tiene nada que hacer, ya que sigue siendo un enigma en toda la película."
13,"""Dos manos"" es una buena adición al catálogo de cine australiano. Es esa curiosa mezcla de vida real, la vida surrealista, la comedia, la tragedia y el amor que los australianos se han desarrollado por su propio libro mayor es básicamente un buen funcionamiento. Queriendo ponerse en marcha con un hombre ""grande"" local Pando (Bryan Brown). Pero en el momento en el momento en que establece un dedo del pie en el camino oscuro hacia el crimen, se encuentra con Alex (Rose Byrne). Aquí está la causa del error para cambiar su vida de manera inesperada. Después de subir al lado equivocado de Pando accidentalmente, las cosas se ponen muy mal muy rápidamente y, si no, por un poco de otro mundo, ayudar a esto, habría sido una breve película triste. Sí, Jimmy aprende algunas lecciones en la vida y nadie se escapa sin unilar de una manera u otra, sino que, al final, tiene una sensación de sentirse bien. Aunque hay un tema sin ley a través de la historia, no está glorificado y ayuda a mostrar cómo el crimen destructivo puede ser en vidas normales. El libro mayor es excelente como Jimmy, inocente y lovvy al mismo tiempo, Rose es hipnótico ya que Alex y Bryan es maravilloso como de costumbre. Este es un pequeño conjunto de personajes, es creíble y me encontré preocupado por los buenos y disgustando los malditos. Este DVD suele estar en el pasillo barato, por lo que le recomendaría agregarlo también su colección de DVD, sería dinero bien gastado. de 10"
14,"Leyendo una amplia variedad de ""Scoop"" reseñas en los últimos días, entré en el teatro preparado para una excursión de SubPar de Woody.Felizmente, no podría haber estado más mal.Por supuesto, Woody, el intérprete está disminuyendo un toque o dos, pero Woody, el escritor / director está en buenas formas, y encontró una forma creíble de integrar a su yo de 70 años en la historia.A juzgar por la risa y las niñas, la audiencia comió a los oneters y el diálogo de Allen de una manera que no he visto en varios años.En un paisaje de películas dominado por arcos de historia aprobados por software, gustos de Twentysomething y Fórmula de línea de ensamblaje para niños, es una fuente de satisfacción e inspiración para ver a Allen persiguiendo su camino altamente personal y aún gratificante."
15,"Una comedia interesante, que tiene lugar en un tren de Estocolmo a Berlín, diciembre de 1945. Uno no puede evitar sentir pena por el pobre escritor / crítico que renuncia a su trabajo y salta en el tren a Berlín.Su ambición es hacer una diferencia, y participar en la construcción de la nueva Europa unificada después de que termine la guerra. Me gusta el formato blanco y negro de la película, así como el paisaje cerrado de un tren en Motion.Robert Gustafsson hace unClásico ""Gustafsson-rol"" en esta película.Si eres fanático de él, esta película es para ti! El filósofo Wittgenstein, a través de su dicho ""Uno nunca puede asumir que algo es lo que parece ser"", se hace referencia varias veces en la película."
16,"Déjame comenzar diciendo que si estás esperando un humor sutil, estás en el teatro equivocado. Es BAJO DE LA CIENTA Y PESADA PESADA. Pero él no está fuera para hacer cosquillas en su hueso divertido. Él tiene el martillo y él ha dibujado una perla al lado de tu cabeza. Pero no teme. A medida que se van las películas, esta es una educación bastante suave. Oh, también, pesado en la juramento, pero una vez más, Mike Juez, no Fred Rogers. ¡Esta película llamada 'Intelliocracy'? F *** no. La gema, la esencia que es Mike Juez es que tiene la capacidad de hacer que las personas se ríen de sí mismas. Beavis y Butthead fue más popular entre los niños envejecidos, las personas que se burlan incesantemente divertidas. Con eso en mente, no creo que el humor en esta película esté dirigido al Super inteligente. Tal vez eres demasiado inteligente para conseguirlo. Pero él no está apuntando a ti. Él está apuntando a su promedio Joe. Y tiene un mensaje: ¡Acto juntos y por el amor de Dios, estudia botánica! Es un poco inconexo y el narrador llega a ser un poco irritante después de un tiempo, pero una vez más, esta película está destinada a las personas que necesitan mucha narración ;-) Es gracioso. Tiene un mensaje que quiere asegurarse de que todos entendamos. Pregunta el casting de Luke Wilson en el papel de un hombre con un 100 coeficiente intelectual. A veces, no puede jugar (¿qué tiene, como, un 104?) Al nivel de su personaje. Ligeramente forzado en Times.kudos en Dax Shepard en este. Recuerdo haberlo visto en Zathura y pensando: ""Estos tipos se ven como un idiota"". En esta película, él hace un gran idiota. Tal vez sea psíquico. Tomó un tiempo para calentarme con Maya Rudolph, pero le di un pequeño margen de maniobra. Después de todo, ella tenía que jugar al hombre recto a un planeta entero. Pero una vez que recibió un poco de pantalla, hizo una contribución sólida. Los tripuladores que jugaban el mismo carácter psicótico y agresivo que ha jugado muchas veces antes, pero hace un presidente de primera categoría, sin embargo, no es lo menos. El lugar era prácticamente. vacío. Contando a mi novia y yo, había literalmente seis personas en el teatro. Podríamos haber tenido un pozo de barbacoa y una banda de mariachi. Por lo tanto, no hay personas molestas que hablan, como parece ser la norma en la edad de ""hablar con la televisión"". Todas en todas, una buena premisa y una entrega competente, dada la meta prevista. Muchas risas rociadas a lo largo de todo. Lo que hizo que esta película asustaba era el hecho de que cuando salimos del teatro, era posible que la película seguía jugando. Vimos mucha idiotez en las personas de inmediato que nos rodean, tal vez se hicieron más evidentes por la dosis que nos pusimos en el teatro ... ¡todos ellos son vástagos, todos ellos!"
17,"Puedo entender cómo los fanáticos del cineasta Roman Polanski podrían amar esta película, y yo podría entender cómo algunos podrían odiarlo (Ebert fue uno de los pocos que no podían entender por qué la gente no se estaba quedando sin el teatro). Después de una primera vista, no estoy seguro de poder caer en cualquiera de las categorías, sin embargo, como alguien que no puede obtener suficiente de Kafka y las comedias oscuras de Paranoia, el inquilino es lo suficientemente efectivo para su tiempo de funcionamiento. O tal vez, no, este es uno de esos casos en los que podría haber sido más de una obra maestra, si fuera un episodio de la zona de Halfo Hora de Twilight, con la entrega de la Coda como Terkovsky (o quienquiera que pudiera ser (?)) Se retorcía en su Cama en vendajes. Es muy similar en el tratamiento del protagonista condenado, ya que la repulsión era, sin embargo, se podría argumentar que había más ambigüedad, más sentido de la surrealista que salía a través de una desintegración sostenida de carácter y ubicación (y, francamente, mejor. Rendimiento de plomo) que el inquilino. Se deja, el inquilino tiene una premisa intrigante, el tipo que no se llena a la que se llena a otras personas: Polanski es un émigré polaco a París que toma un apartamento que fue adquirido más recientemente. Simone Choule, quien saltó a ella cerca de la muerte de la ventana y murió poco después. Pero los otros inquilinos son conservadores al máximo en términos de ruido; Después de un sábado por la noche en Terkovsky's con algunos amigos, hay quejas de demasiado ruido. No volverá a suceder, dice el inquilino bien natural pero ligeramente nervioso, pero no hay paz incluso en mover un gabinete o una silla. ¿Pronto las quejas se registran contra otro inquilino, pero de él? ¿Puede registrar quejas? Este es un caso de no mucha identidad errónea, pero de ahí la falta de paz mental con uno mismo y a las personas que lo rodean. A medida que la espiral descendente continúa, Polanski trinquete la tensión (y, se atreve a decir, las risas de Negro-Comedic) mostrando a Terkovsky en medio de un sueño horrible, de una de las escenas más fuertes de Polanski desde el período, y en la búsqueda de dientes en la pared. , sin mencionar el baño a través del camino (que, yo podría agregar, siempre es un cine de linchamiento cinematográfico de horror y locura surrealista). Pero de alguna manera, la película nunca se siente tan significativa aparte de su diseño excesivo como un aspirante Sé Minder-F *** Máquina, con los inquilinos de Terkovsky, solo parecen ser lo que parecen por un rato: no hay tanto suspenso al descubrir que realmente no están fuera para conseguirlo, lo que hace que la paranoia sea más auto. -Pullido. Al menos una o dos veces, me pensé también para mí "", ¿por qué Polanski tomó el papel de título para sí mismo?"" No es que sea en absoluto un mal actor, y ha aparecido en varias películas y jueces que no son de su propia dirección. Pero aparte de ser genial lucir incómodo y tenso, como en la iglesia, o en sus momentos de una especie de voltear cuando piensan que realmente están fuera para que se maten a sí mismo, su transformación es menos espeluznante que la lengua en la mejilla. , una prueba de sí mismo para ver si puede sacarlo, lo que no hace por completo. A pesar de que Polanski trabajaba bien para parecerse a los Manse y Frazzled Terkovsky, pude ver al menos algunos otros actores que podrían sacarlo con más sutileza y afectar a la personalidad. Para cuando uno lo ve en el arrastre, va entre un campamento digno y verdadero, particularmente cuando va por el doble clímax al final (lo que, por supuesto, es de poca sorpresa). Y aún hay placer para el Film-Buff y Polanski Fan para ver el esfuerzo de reparto de soporte y cavar en los personajes mucho más ambiguos (inviernos y Douglas hacen esto lo mejor, incluso como tienen que esforzarse a través de caracteres limitados), y los momentos inesperados como Polanski y Adjani se calientan. Y pesado durante una película de Bruce Lee, o cuando se emborracha realmente, o en una escena casi aleatoria, donde golpea a un niño cerca de una fuente, es bastante brillante en sí mismos y de sí mismos. Es una muy buena película, y una que podría seguir mi atención cuando está en demasiados cafés después de la medianoche. ¿Pero una película esencial? No exactamente."
18,"De todas las películas imperialistas británicas como cuatro plumas, cargo de la brigada de la luz, por ejemplo, esta película se destaca como la crema de la cosecha.Refleja un momento en que ""el sol nunca se puso en el Imperio Británico"".Superalo.No entraré por qué, porque muchos otros han expresado las muchas razones que hacen que esta película sea excelente.He visitado las colinas de Alabama y he fotografiado el paso a través del cual los británicos marcharon y permanece, ya que fue, sin cambios por el tiempo y la invasión por parte del hombre y los vándalos.Y aunque sé que se acerca, viendo a Din mentir muerta en una camilla y cuando estas líneas se leen ""¡Sí, DIN! ¡DIN! ¡Din! ¡USTED TU LAZARUSHIANS-CUERO GUNGA DIN! Aunque te he ceñido y te deshecho, por el livin'Gawd que te hizo, eres un hombre mejor que yo, Gunga Din ""Todavía, a los 54 años de edad, tienes ojos nerviosos y cualquier persona que dice que no es un mentiroso.La gama de emociones dentro de ella es la marca de una gran película.Como el final de otra gran película, de ratones y hombres."
19,"Berlin-born in 1942 Margarethe von Trotta was an actress and now she is a very important director and writer She has been described, perhaps even unfairly caricatured, as a director whose commitment to bringing a woman's sensibility to the screen outweighs her artistic strengths ""Rosenstrasse,"" which has garnered mixed and even strange reviews (the New York Times article was one of the most negatively aggressive reviews I've ever read in that paper) is not a perfect film It is a fine movie and a testament to a rare coalescing of successful opposition to the genocidal Nazi regime by, of all peoples, generically powerless Germans demonstrating in a Berlin streetCo-writer von Trotta uses the actual Rosenstrasse incident in the context of a young woman's search for information about her mother's never disclosed life as a child in the German capital during World War IIThe husband of Ruth Weinstein (Jutta Lampe) has died and in a surprising reversion to an orthodox Jewish lifestyle apparently hitherto in long abeyance, Ruth not only ""sits shivah"" (the Jews' week-long mourning ritual) but she insists on following the strict proscriptions of her faith Her apartment in New York City reflects the affluence secured by her deceased spouse's labors Her American-born daughter, Hannah (Maria Schrader) and her brother are a bit put-off by mom's assumption of restrictive orthodox Jewish practices but they pitch in The mother coldly rejects the presence of Hannah's fiance, a non-Jew named Luis (Fedja van Huet) A domestic crisis might well erupt as Ruth warns that she'll disown Hannah if she doesn't give up doting, handsome Luis Stay tunedA cousin arrives to pay her respects and also drops clues to an interested Hannah about a wartime mystery about mom's childhood in Berlin Hannah is intrigued - she queries her mom who resolutely refuses to discuss that part of her life This is very, very realistic I grew up with parents who fled Nazi Germany just in time and I knew many children whose families, in whole but usually in part, escaped the Holocaust Those days were simply not discussedSo Hannah, having learned that a German gentile woman saved Ruth's life, traipses off to Berlin hoping to find the savior still breathing Were she not, this would have been a very short film But Ruth, pretending to be a historian, locates 90 year-old Lena Fischer (Doris Schade), now a widow As the happy-to-be-interviewed but shaken up by repressed memories Lena tells her story, the scenes shift fairly seamlessly between present day Berlin and the war-time capitalThe young Lena of 1943 (Katja Riemann) was a fine pianist married to a Jewish violinist, Fabian Fischer (Martin Feifel) With the advent of the Nazi regime he was required to use ""Israel"" as a middle name just as Jewish women had to add ""Sarah"" to their names(incidentally I wish IMDb had not given Fabian's name on its characters list with the false ""Israel"" included-it simply perpetuates a name applied by Nazis as a mark of classification and degradation)While Germany deported most of its Jewish population to concentration camps, those married to ""Aryans"" were exempted For a time Until 1943 when the regime decided to take them too (most were men; a minority were Jewish women married to non-Jews) The roundup is shown here in all its frightening intensityThe young Lena tries to locate her husband All she and many other women know is that they're confined in a building on Rosenstrasse The crowd of anxious women builds up, some piteously seeking help from German officers who predictably refuse aid and also verbally abuse them (""Jew-loving whore"" being one appellation) As a subplot Lena more or less adopts eight-year-old Ruth who hid when her mother was seized (remember, Ruth is now sitting shiva in Manhattan) The child Ruth is fetchingly portrayed by Svea Lohde Through increasingly angry protestations the women finally prevail The men, and a handful of women, are released As in the real story the Nazis gave in, one of the rare, almost unprecedented times when the madmen acknowledged defeat in their homicidal agenda (another was the termination of the euthanasia campaign to rid the Reich of mental defectives and chronic invalids but that's another story)Von Trotta builds up the tension and each woman's story is both personal and universal Hannah continues to prod the aging Lena who slowly, one gathers, begins to suspect she's not dealing with an ordinary historian but rather someone with a need to learn about the girl she rescued, the child whose mother was murderedThe contrasts between Rosenstrasse of 1943, a set, and the street today in a bustling, rebuilt, unified Berlin provide a recurring thematic element Today's Berlin bears the heritage but not the scars of a monstrous past Von Trotta makes that point very wellThe main actors are uniformly impressive Lena's husband while strong is also shown as totally helpless in the snare of confinement with a likely outlook of deportation (which is shown to have been clearly understood by all characters - including the local police and military - as a one-way trip to oblivion) The older Ruth is catalytically forced to confront demons long suppressed in her happy New York life Hannah is very believable as a young woman whose father's death triggers a need to discover her family's past These things happen (although the Times's critic appears not to know that)Von Trotta's hand is sure but not perfect A scene with Goebbels at a soiree enjoying Lena's violin playing is unnecessary and distractive The suggestion that she may have gone to bed with the propaganda minister, the most fanatical top-level Hitler worshiper, to save her husband detracts from the wondrous accomplishment of the demonstrating spouses and relatives Most of the German officers come from central casting and are molded by the Erich von Stroheim ""copy and paste"" school of Teutonic nastiness But that's understandableThe Rosenstrasse story has been the subject of books and articles and some claim it's a paradigm case for arguing that many more Jews could have been saved had more Germans protested Unfortunately that argument is nonsense The German women who occupied Rosenstrasse were deeply and understandably self-interested Most Germans were located on a line somewhere between passive and virulent anti-Semitism THAT'S why the Rosenstrasse protest was virtually singular Whether one buys or rejects the Goldenhagen thesis that most Germans were willing accomplices of the actual murderers it just can not be denied that pre-Nazi endemic anti-Semitism erupted into a virulent strain from 1933 onThe elderly Lena remarks that what was accomplished by the women was ""a ray of light"" in an evil time Most of the men and women sprung from a near death trip survived the war So ""a ray of light"" it was and von Trotta's movie is a beacon of illumination showing that some were saved by the courage of largely ordinary women and for every life saved an occasion for celebration exists And always will9/10"
20,"""ERENDIRA"" es una película de México que rara vez se habla. La película solo existe en un formato VHS de baja calidad. Es una pena que esta película no haya recibido un lanzamiento de DVD. ""Erendira"" es impresionante y magnífica con sus imágenes de magia y realistas. ""ERENDIRA"" se basa en una historia corta de la novela ""100 años de soledad"". Erendira está constantemente soñando despierto y quema accidentalmente a la casa de su abuela. Su abuela malvada, interpretada por Irene Papas, la fuerza a la prostitución para pagar los daños. Toda la ciudad obtiene un pedazo de Erendira, por así decirlo. Aunque el tema suena duro, la película no explota la sexualidad. Se hace de una manera artística madura. La película también tiene algunos disfraces increíbles. Algunos de los aspectos más surrealistas de la película que más destacan, son las aves origami que se transforman en aves reales, y una naranja dorada con un diamante en el centro. Erendira es una película increíble, que incluso logra lanzar en humor. Esta es definitivamente una película que merece una versión especial de DVD. Como dijeron en Espanol, ""Es Muy Muy bien !!! ¡Excelente!"
21,"... y mis razones para las cuales son simples, hay tantas grandes películas presentadas y discutidas aquí (la mayoría de ellos por sus propios directores y estrellas), tantos clips de infames momentos en la historia de la película de los años 70, y de hecho una serie de Las películas que todavía tengo que ver, que no sería justo calificar este trabajo. Por esta lógica, no debería haber dado calificaciones a otros documentales de películas como el viaje personal de Martin Scorsese a través de películas estadounidenses y mi viaje a Italia. Pero mientras que esas películas estaban sobre la base de la visión de un hombre del cine, que narraban la mayor parte del camino, Richard Lagravanese y (hasta el final) Ted Demmes, una década bajo la influencia, le permite a las películas y los creadores hablar por sí mismos. Lo que hace que la 'Década ""valga la pena al menos un reloj para los aficionados a las películas, o simplemente a cualquiera que le guste las películas de finales 60's-70 en América, son los niveles de los que va, que en la versión sin cortar (tres horas, no el teatral Versión, que no tengo comentarios) está cubierto un montón de suelo. Las entrevistas incluyen a los gustos como Scorsese, Robert Altman, Sidney Lumet, Julie Christie, Jon Voight, Francis Ford Coppola, Paul Schrader, Pam Grier, Bruce Beg, Peter Bogdanovich, Roger Corman, Dennis Hopper, Robert Towne, etc, y hay una constante Flujo de visión de principio a fin. La forma en que aparecen los clips y directores / actores, editados juntos en un estilo llamativo y rápido, también es fascinante. El único comentario que tengo en el documental es que la mayor parte de la información presentada se ha informado en varios libros, como los pasajeros fáciles, los toros de furia, y aunque aún no he visto la versión de la película de ese libro todavía estoy seguro de que Habría cubierto muchas de las películas y directores e incidentes como aquí (de hecho, el libro de eso es uno de los mejores que he leído. Sin embargo, este documental sirve como algo especial para los buffs de películas y los asistentes ocasionales del futuro. - Pueden mirar esto y aprender no solo acerca de las imágenes tan conocidas como un ciclista fácil, el último programa de imágenes, Annie Hall, llegando a su casa y el arrendador conocido como Scarecraco, pánico en el parque de agujas, el propietario, Joe, que disparan a los caballos. 'T. También pueden aprender sobre quién los influenció (nuevas ondas de Europa y Asia), a las que se desempeñaron como influencias y cómo el tema que creó la controversia después de la controversia, todavía sirve como material intrigante y de cría para la multitud contemporánea. ¡Busca esto!"
22,"Venía de Outer Space II es una muy buena película que tiene un buen fundido que incluye a Brian Kerwin, Elizabeth Peña, Jonathan Carrasco, Sparks Adrian, Bill McKinney, Dean Norris, Zeek Zeek, Lauren Tews, Mickey Jones, Iilana B'tiste, Jerry Giles, y Howard Morris! La actuación de todos estos actores es muy buena. Kerwin y Norris son realmente excelentes en esta película. Pensé que se desempeñaron bien. Las emociones son realmente buenas y algo de eso es sorprendente. La película se filma muy bien. La música es genial por Shirley Walker. La película es bastante interesante y la película realmente te mantiene en marcha hasta el final. Esta es una película muy buena y emocionante. Si te gusta Brian Kerwin, Elizabeth Peña, Jonathan Carrasco, Adrian Sparks, Bill Mckinney, Dean Norris, Zeek Zeek, Lauren Tews, Mickey Jones, el resto del elenco en la película, misterio, ciencia ficción, thrillers, dramas y ¡Películas de acción interesantes, entonces le recomiendo que vea esta película hoy! Película Notttball Note: Noté que esta es la segunda película que Dean Norris y Mickey Jones estaban juntos en una película. ¡El otro es el clásico retiro total violento épico! ¡Es divertido verlos en otra película alienígena! Si te gustan las películas alienígenas y / o el tema de los alienígenas, también recomiendo las siguientes películas: la cosa de otro mundo, el día en que la Tierra se quedó quieta, la Guerra de los Mundos (1953 y 2005), Horror Express, el incidente de OVNI, la invasión de los astillas del cuerpo (1978), et Lo extra terrestre, John Carpenter, Krull, el regreso de los alienígenas: el engendro mortal, el tiempo de Walker, mi proyecto de ciencia, Howard, el pato, John, el Starman de Carpenter, John Carpenter, están, Mac y yo, exploradores, invasores. Desde Marte, semilla alienígena, el abismo, la comunión, el comando suburbano, el fuego en el cielo, la llegada, los ataques de Marte! Contacto, Hombres en Negro I & 2, Stephen King's Dreamcatcher, Xtro 3: Mira los cielos, la Tierra del campo de batalla: una saga para el año 3000, Stargate, The Puppet Masters, John Carpenter's Village of the Malditado, Día de la Independencia, Forma de vida, Contacto , Los archivos X: luchar contra el futuro, Roswell: Los alienígenas Ataque, la Facultad, Misión a Marte, Pitch Black, Evolution, K-Pax, Signos, Advertencias silenciosas, The Oldletot, Alien Hunter, Spacalls, Alien, Alien, Alien 3, Predator & Predator 2, AVP: Alien vs. Depredador, toda la saga de Star Wars (¡una nueva esperanza, el Imperio aturde, el regreso de la Jedi (ediciones originales y especiales!), La amenaza fantasma, el ataque de los clones y la venganza del Sith), toda la caminata estrella. Película Saga (Star Trek: The Motion Picture, The Wrath of Khan, la búsqueda de Spock, The Voyage Home, The Final Frontier, El País no descubierto, Generaciones, Primer contacto, Insurrección y Nemesis) ¡Y Stephen King's It!"
23,"¡Esta es una película irresistible de una gran película alegre y técnicamente hecha en gran medida! La película presenta algunos de los juegos más grandes que verás en una película de '30, a pesar de que es demasiado obvio que son conjuntos, en lugar de ubicaciones de lugar real. A menudo, si un personaje caería o agitaría a una puerta demasiado agresiva, todo el conjunto se movería obviamente. Los mejores momentos de la película eran los silenciosos, más antiguos, los momentos de slapstick. Muestra que el verdadero corazón de René Clair estaba en la creación de películas silenciosa. El humor general es realmente genial en esta película. Además, por supuesto, los momentos musicales eran más que geniales. Esta es una luz muy agradable y agradable y agradable musical francés. Aunque los mejores momentos son los momentos silenciosos, eso no significa que la película no esté llena de un excelente diálogo humorístico, que se libera muy bien entregado por los principales actores, quienes todos les parecieron actores escénicos, que en este caso funcionó extremadamente. Bueno, para la película, su estilo general y agradable ambiente de no preocupaciones. No es de extrañar que esto funcione tan bien, ya que esta película se basa en la lista de escenario de Georges Berr.it es una gran película técnica, con también un gran trabajo de cámaras de innovación en ella y una excelente edición, que crean un poco de marcha y Agradable para ver las secuencias agradables. ¡Nunca hay un momento aburrido en esta película! René Clair era un director tan inteligente, que sabía cómo construir y planificar momentos cómicos dentro de las películas. Es una película muy creativa, que a pesar de su sencillez todavía en todo momento, se siente como una película totalmente original e inteligentemente construida, que nunca se apodera de entretener. La última media hora es especialmente divertida, sin perder demasiado, y es realmente entre los Los mejores momentos más grandes, así como la mayoría de los momentos creativos en la comedia temprana, la película está llena de algunos personajes realmente agradables, que, por supuesto, todos muy estereotipados y tontos y obviamente fueron arrojados debido a su apariencia. Todo se suma a la agradable ambiente cómico y la ternura de la película. ¿Una de las películas más agradables que voy a ver! 8/10"
